customer_id,product_id,rating
u_7f39a215,336408,5
u_4c0b07d5,336408,5
u_3d5958d7,360671,1
u_6d8058b4,360671,2
u_907ec057,360671,1
u_da608cfb,357861,1
u_8394f034,357861,1
u_234bdab6,357861,5
u_481e0ef4,357861,5
u_9743486e,357861,5
u_adfc5e11,334226,5
u_c8cc119f,334226,4
u_ef41a6f9,334226,5
u_4112389c,334226,1
u_39a32700,334226,5
u_53ad87e2,325136,5
u_f02893ad,325136,2
u_6df164ff,325136,5
u_ee3a211d,325136,5
u_56384e34,325136,5
u_9fc3117c,336702,4
u_250b3de7,336702,5
u_ce5a6eea,336702,3
u_3894e87f,326023,5
u_8b056759,326023,1
u_dfa59fdf,326023,4
u_be0a7eed,326023,3
u_edef31b8,325500,1
u_1f21c04e,325500,4
u_95b0d692,325500,1
u_3ff3ef53,325500,2
u_eacd478a,325500,1
u_2fe4671d,327051,5
u_f2a10fe4,327051,5
u_32d7b151,333430,5
u_bf16a8e1,333430,3
u_0b0eb8fd,333430,4
u_672f4e8e,333430,5
u_68b693f5,333430,5
u_6cd91369,333427,5
u_9307f526,333427,5
u_d3d6e068,333427,1
u_c51a7dda,354745,3
u_0ee4687b,333421,4
u_3d15130a,333421,1
u_fd1939da,341605,1
u_4afdf240,341605,5
u_e17c22dd,341605,5
u_637d3d1b,334997,4
u_f6a395de,334997,1
u_19cf2803,334997,5
u_e4abc9d6,334997,5
u_d6b06916,334997,5
u_92348056,339202,5
u_6cd91369,339202,4
u_4344d72c,322222,5
u_16c76781,322222,1
u_fe094ffe,322222,1
u_8100124e,322222,1
u_4185fdef,322222,1
u_d17ae246,330169,5
u_8c028d4b,330169,5
u_57e5d248,330169,5
u_12e35a6a,330169,4
u_07f59e9f,330169,4
u_d7d56e3c,334803,3
u_bab5c698,338311,5
u_6b4257ba,338311,5
u_059989b6,328522,5
u_f70a05b2,328522,5
u_cc7bbc01,328522,5
u_b29a5edf,328522,4
u_55c2f284,328522,2
u_40fa52d1,356864,5
u_9b6f56cd,356864,5
u_b29a5edf,329834,5
u_2fc9d71d,329834,5
u_29ef6c2d,329834,5
u_57050ca9,329834,5
u_33739198,329834,5
u_504c75ec,332069,5
u_cb0303dc,332069,5
u_1bc7d91b,332069,1
u_9ad81a8f,332069,3
u_58335b73,332069,5
u_2d4fa8c9,341442,2
u_9cd82c3c,341442,2
u_c8b257d5,335516,3
u_60b7cf58,344999,1
u_600eb470,344999,4
u_ebd0d5ce,344999,3
u_25774280,344999,4
u_1c451bdc,344999,3
u_d7d56e3c,361703,3
u_9d45d54f,360344,5
u_c59bda07,357832,5
u_20d97e11,357832,2
u_0d4706aa,343067,2
u_a70207c2,343067,5
u_24a5bf04,343067,1
u_e4190483,343063,5
u_a24b619c,343063,5
u_69351bf0,343063,5
u_3d8175c3,343063,3
u_1d0ea88f,343063,4
u_2cb877ce,337742,5
u_807dbe7d,337742,5
u_b397ec40,337742,3
u_a5c4df90,337742,5
u_79dcc1ee,337742,3
u_1bacd7bf,363437,4
u_e2f40317,361707,3
u_21827504,361707,5
u_29d26d15,361707,5
u_af60d8a4,361707,2
u_86b03198,340260,5
u_2cae8ebf,343066,5
u_980f2393,336623,4
u_4adf499d,336623,5
u_c3aafb77,336623,5
u_d7d56e3c,336623,3
u_87af4be7,336623,5
u_27ab0b3d,335307,4
u_05b3d968,335307,3
u_040f6d7a,335307,5
u_8aafcba7,335307,1
u_02c2c296,332235,4
u_c1cb8370,332235,5
u_3b75972d,332235,4
u_34ea5c14,332235,3
u_a6b8a56a,332235,1
u_a152b4d8,306785,5
u_c8f2245c,306785,5
u_c53b8aac,306785,1
u_45298fe5,306785,1
u_0688fa6a,306785,1
u_a0eb9da1,337472,5
u_4ad35edf,321192,5
u_acc6d37d,321192,3
u_c3aafb77,321192,2
u_6e18f544,321192,4
u_082e83f7,321192,1
u_5cbc764d,339681,1
u_dda1b189,339679,3
u_fe83ce5f,339679,3
u_c14a57fe,342942,1
u_9ec75b67,310447,5
u_d66a11a0,310447,5
u_880c64c7,310447,5
u_8b6f4164,310447,4
u_0fe89fc3,327707,5
u_04059d31,327707,5
u_44dbdc0e,327707,5
u_6088b3e1,326122,3
u_71ca9872,341612,2
u_e196b369,326939,4
u_6da281a3,209019,5
u_aee77ce2,209019,2
u_7ce83500,209019,1
u_2b90c7a7,209019,5
u_032d8a38,209019,1
u_c3aafb77,209170,5
u_f7f2c0dc,209170,5
u_2379fb26,209170,5
u_97e1241e,209170,5
u_fc5d6a33,209170,5
u_8b3b6758,246098,1
u_83dad2fe,246098,4
u_8394f034,246098,4
u_9aaadf6c,246098,5
u_12425143,246098,5
u_60efa376,287032,5
u_2eea73f9,287032,5
u_203d4f99,202643,5
u_29afe71e,202643,5
u_188aceb4,202643,2
u_6da36859,202643,5
u_8394f034,202643,5
u_b99ef4c2,199580,3
u_49e7f525,329444,5
u_abd30c8d,329444,5
u_30aacc77,199485,2
u_4b447841,199485,5
u_7b802558,199485,2
u_d90dea02,199485,4
u_9fd0508c,199485,5
u_c13a1051,199369,5
u_a267201b,199369,5
u_054bdb8c,199369,4
u_53d44d73,199369,4
u_6a93a747,199369,4
u_cb0eb0f0,206539,4
u_45f72b01,206539,5
u_025de4a3,206539,4
u_8cf27d94,206539,5
u_c4041a54,206539,5
u_600b2fa2,231859,3
u_759615e9,231859,5
u_9a5ac68f,231859,5
u_00f3152f,231859,4
u_81789a8a,231859,5
